No.,word,名詞,動詞,形容詞,副詞,前置詞,接続詞
1,order,注文・命令,～を注文する,,,,
2,meeting,会議,,,,,
3,service,サービス,,,,,
4,employee,従業員,,,,,
5,department,部署,,,,,
6,ask,,～を頼む・～を訪ねる,,,,
7,available,,,利用できる・手に入る,,,
8,customer,顧客,,,,,
9,place,場所,~を置く,,,,
10,travel,旅行,旅行する,,,,
11,purchase,購入・購入品,~を購入する,,,,
12,training,トレーニング・研修,,,,,
13,need,必要性,,,,,
14,book,本,~を予約する,,,,
15,conference,会議,,,,,
16,schedule,予定,~を予定する,,,,
17,staff,社員・スタッフ,,,,,
18,report,報告書,出勤する・報告する,,,,
19,contact,連絡,～に連絡をする,,,,
20,likely,,,ありそうな,おそらく,,
21,local,,,地元の,,,
22,offer,申し出,~を提供する,,,,
23,clerk,店員,,,,,
24,purpose,目標,,,,,
25,product,製品,,,,,
26,project,計画,～を計画する,,,,
27,request,要求,～を要求する,,,,
28,form,用紙,~を形作る,,,,
29,manager,部長・マネージャー,,,,,
30,also,,,,~もまた,,
31,library,図書館,,,,,
32,open,,~を開ける,開いている,,,
33,problem,問題,,,,,
34,photocopier,コピー機,,,,,
35,review,批評・再検討,~を見直す,,,,
36,each,,,それぞれの,,,
37,return,返却,戻る・～を返す,,,,
38,location,場所・店舗,,,,,
39,receive,,~を受け取る,,,,
40,research,研究,~を研究する,,,,
41,check,,~をチェックする,,,,
42,during,,,,,～の間,
43,provide,,~を提供する,,,,
44,several,,,いくつかの,,,
45,subject,件名・科目,,,,,
46,advertisement,広告,,,,,
47,article,記事,,,,,
48,because,,,,,,なぜなら
49,income,収入,,,,,
50,appointment,約束・予約,,,,,
51,resume,履歴書,,,,,
52,discount,割引,,,,,
53,special,,,特別な,,,
54,tour,ツアー・見学,,,,,
55,furniture,家具,,,,,
56,save,,~を節約する・～を保存する,,,,
57,list,リスト・一覧,,,,,
58,sure,,,確かな,確かに,,
59,visit,訪問,~を訪問する,,,,
60,remark,発言・意見,~と述べる,,,,
61,recently,,,,最近,,
62,right,権利・正しいこと,,正しい,正しく・すぐに,,
63,soon,,,,すぐに,,
